[2023-11-08 18:19:00]: Path: save/1699447740/ is created
[2023-11-08 18:19:07]: Start train process.
[2023-11-08 18:19:08]: | epoch   0 |     0/ 3494 batches | rec loss 7.8996 | dis loss 0.8838 |
[2023-11-08 18:19:21]: | epoch   0 |   200/ 3494 batches | rec loss 4.9654 | dis loss 0.6409 |
[2023-11-08 18:19:33]: | epoch   0 |   400/ 3494 batches | rec loss 3.7902 | dis loss 0.4949 |
[2023-11-08 18:19:45]: | epoch   0 |   600/ 3494 batches | rec loss 3.0286 | dis loss 0.4388 |
[2023-11-08 18:19:57]: | epoch   0 |   800/ 3494 batches | rec loss 2.6704 | dis loss 0.4039 |
[2023-11-08 18:20:09]: | epoch   0 |  1000/ 3494 batches | rec loss 2.3364 | dis loss 0.4081 |
[2023-11-08 18:20:22]: | epoch   0 |  1200/ 3494 batches | rec loss 1.8283 | dis loss 0.2977 |
[2023-11-08 18:20:34]: | epoch   0 |  1400/ 3494 batches | rec loss 1.7303 | dis loss 0.2750 |
[2023-11-08 18:20:46]: | epoch   0 |  1600/ 3494 batches | rec loss 1.6871 | dis loss 0.3570 |
[2023-11-08 18:20:58]: | epoch   0 |  1800/ 3494 batches | rec loss 1.5102 | dis loss 0.2853 |
[2023-11-08 18:21:11]: | epoch   0 |  2000/ 3494 batches | rec loss 1.3412 | dis loss 0.3215 |
[2023-11-08 18:21:23]: | epoch   0 |  2200/ 3494 batches | rec loss 1.1671 | dis loss 0.3707 |
[2023-11-08 18:21:35]: | epoch   0 |  2400/ 3494 batches | rec loss 1.2977 | dis loss 0.2533 |
[2023-11-08 18:21:47]: | epoch   0 |  2600/ 3494 batches | rec loss 1.2163 | dis loss 0.2890 |
[2023-11-08 18:21:59]: | epoch   0 |  2800/ 3494 batches | rec loss 1.2502 | dis loss 0.2921 |
[2023-11-08 18:22:12]: | epoch   0 |  3000/ 3494 batches | rec loss 1.1029 | dis loss 0.1965 |
[2023-11-08 18:22:24]: | epoch   0 |  3200/ 3494 batches | rec loss 0.9571 | dis loss 0.3240 |
[2023-11-08 18:22:36]: | epoch   0 |  3400/ 3494 batches | rec loss 0.8557 | dis loss 0.2050 |
[2023-11-08 18:22:42]: | end of epoch   0 | time: 214.79s |
[2023-11-08 18:22:42]: | epoch   1 |     0/ 3494 batches | rec loss 0.9695 | dis loss 0.2533 |
[2023-11-08 18:22:53]: | epoch   1 |   200/ 3494 batches | rec loss 0.9477 | dis loss 0.2250 |
[2023-11-08 18:23:03]: | epoch   1 |   400/ 3494 batches | rec loss 0.8563 | dis loss 0.2818 |
[2023-11-08 18:23:15]: | epoch   1 |   600/ 3494 batches | rec loss 0.8198 | dis loss 0.3206 |
[2023-11-08 18:23:27]: | epoch   1 |   800/ 3494 batches | rec loss 0.9892 | dis loss 0.2886 |
[2023-11-08 18:23:39]: | epoch   1 |  1000/ 3494 batches | rec loss 0.8617 | dis loss 0.2852 |
[2023-11-08 18:23:52]: | epoch   1 |  1200/ 3494 batches | rec loss 0.6578 | dis loss 0.2148 |
[2023-11-08 18:24:04]: | epoch   1 |  1400/ 3494 batches | rec loss 0.7371 | dis loss 0.2209 |
[2023-11-08 18:24:16]: | epoch   1 |  1600/ 3494 batches | rec loss 0.8045 | dis loss 0.3155 |
[2023-11-08 18:24:28]: | epoch   1 |  1800/ 3494 batches | rec loss 0.7546 | dis loss 0.2202 |
[2023-11-08 18:24:40]: | epoch   1 |  2000/ 3494 batches | rec loss 0.6533 | dis loss 0.2563 |
[2023-11-08 18:24:53]: | epoch   1 |  2200/ 3494 batches | rec loss 0.6179 | dis loss 0.2984 |
[2023-11-08 18:25:05]: | epoch   1 |  2400/ 3494 batches | rec loss 0.6873 | dis loss 0.2158 |
[2023-11-08 18:25:17]: | epoch   1 |  2600/ 3494 batches | rec loss 0.7279 | dis loss 0.3376 |
[2023-11-08 18:25:30]: | epoch   1 |  2800/ 3494 batches | rec loss 0.7985 | dis loss 0.2484 |
[2023-11-08 18:25:42]: | epoch   1 |  3000/ 3494 batches | rec loss 0.7162 | dis loss 0.1970 |
[2023-11-08 18:25:54]: | epoch   1 |  3200/ 3494 batches | rec loss 0.6551 | dis loss 0.2775 |
[2023-11-08 18:26:07]: | epoch   1 |  3400/ 3494 batches | rec loss 0.5452 | dis loss 0.2189 |
[2023-11-08 18:26:13]: | end of epoch   1 | time: 210.96s |
[2023-11-08 18:26:13]: | epoch   2 |     0/ 3494 batches | rec loss 0.6263 | dis loss 0.2959 |
[2023-11-08 18:26:26]: | epoch   2 |   200/ 3494 batches | rec loss 0.6301 | dis loss 0.2357 |
[2023-11-08 18:26:38]: | epoch   2 |   400/ 3494 batches | rec loss 0.5838 | dis loss 0.3241 |
[2023-11-08 18:26:50]: | epoch   2 |   600/ 3494 batches | rec loss 0.5786 | dis loss 0.2914 |
[2023-11-08 18:27:02]: | epoch   2 |   800/ 3494 batches | rec loss 0.7083 | dis loss 0.2335 |
[2023-11-08 18:27:14]: | epoch   2 |  1000/ 3494 batches | rec loss 0.6339 | dis loss 0.2648 |
[2023-11-08 18:27:27]: | epoch   2 |  1200/ 3494 batches | rec loss 0.5301 | dis loss 0.1838 |
[2023-11-08 18:27:39]: | epoch   2 |  1400/ 3494 batches | rec loss 0.5694 | dis loss 0.2091 |
[2023-11-08 18:27:50]: | epoch   2 |  1600/ 3494 batches | rec loss 0.5747 | dis loss 0.2824 |
[2023-11-08 18:28:02]: | epoch   2 |  1800/ 3494 batches | rec loss 0.6043 | dis loss 0.2253 |
[2023-11-08 18:28:14]: | epoch   2 |  2000/ 3494 batches | rec loss 0.5009 | dis loss 0.2015 |
[2023-11-08 18:28:26]: | epoch   2 |  2200/ 3494 batches | rec loss 0.4949 | dis loss 0.2437 |
[2023-11-08 18:28:38]: | epoch   2 |  2400/ 3494 batches | rec loss 0.5434 | dis loss 0.2006 |
[2023-11-08 18:28:50]: | epoch   2 |  2600/ 3494 batches | rec loss 0.5864 | dis loss 0.3145 |
[2023-11-08 18:29:01]: | epoch   2 |  2800/ 3494 batches | rec loss 0.6383 | dis loss 0.2419 |
[2023-11-08 18:29:13]: | epoch   2 |  3000/ 3494 batches | rec loss 0.5651 | dis loss 0.2055 |
[2023-11-08 18:29:25]: | epoch   2 |  3200/ 3494 batches | rec loss 0.5061 | dis loss 0.2472 |
[2023-11-08 18:29:37]: | epoch   2 |  3400/ 3494 batches | rec loss 0.4420 | dis loss 0.1766 |
[2023-11-08 18:29:42]: | end of epoch   2 | time: 208.97s |
[2023-11-08 18:29:42]: | epoch   3 |     0/ 3494 batches | rec loss 0.5140 | dis loss 0.2667 |
[2023-11-08 18:29:54]: | epoch   3 |   200/ 3494 batches | rec loss 0.5235 | dis loss 0.1991 |
[2023-11-08 18:30:06]: | epoch   3 |   400/ 3494 batches | rec loss 0.4639 | dis loss 0.3120 |
[2023-11-08 18:30:18]: | epoch   3 |   600/ 3494 batches | rec loss 0.4972 | dis loss 0.2533 |
[2023-11-08 18:30:30]: | epoch   3 |   800/ 3494 batches | rec loss 0.6160 | dis loss 0.1981 |
[2023-11-08 18:30:41]: | epoch   3 |  1000/ 3494 batches | rec loss 0.5527 | dis loss 0.2906 |
[2023-11-08 18:30:53]: | epoch   3 |  1200/ 3494 batches | rec loss 0.4519 | dis loss 0.1656 |
[2023-11-08 18:31:05]: | epoch   3 |  1400/ 3494 batches | rec loss 0.5064 | dis loss 0.1964 |
[2023-11-08 18:31:17]: | epoch   3 |  1600/ 3494 batches | rec loss 0.5251 | dis loss 0.2859 |
[2023-11-08 18:31:29]: | epoch   3 |  1800/ 3494 batches | rec loss 0.5259 | dis loss 0.2001 |
[2023-11-08 18:31:41]: | epoch   3 |  2000/ 3494 batches | rec loss 0.4510 | dis loss 0.2027 |
